5,0,0,0,59,2,1,95,107,11,1,150,236,23,2,272,333,22,3,333,421,12,3,425,509,15,8,863,875,14,10,1049,1109,5,7,1141,1161,18,9,1230,1307,26,10,1329,1341,29,10,1379,1428,3,11,1461,1491,17,8,1616,1673,27,14,1702,1766,21,13,1777,1876,1,8,1876,1880,25,9,1969,2051,6,16,2082,2175,4,12,2320,2391,19,11,2391,2465,9,14,2476,2500,8,15,2527,2617,24,13,2617,2655,20,12,2673,2756,13,14,2756,2793,16,9,2888,2961,10,19,3306,3339,28,18,3399,3465,7,18,3815,3886
13,3,0,0,31,1,0,95,137,12,0,150,185,0,1,208,280,5,1,290,306,17,1,351,355,18,3,425,516,19,2,516,590,25,1,612,644,6,6,688,771,4,3,974,1000,22,9,1136,1230,26,11,1379,1393,27,11,1427,1472,9,7,1492,1588,14,13,1588,1677,21,12,1681,1685,11,10,1777,1823,28,10,1876,1897,15,18,1969,2009,23,13,2046,2051,10,9,2082,2127,16,2,2146,2226,8,14,2242,2340,29,16,2340,2402,7,10,2402,2451,2,18,2853,2951,13,18,3049,3050,24,18,3399,3436,20,19,3484,3537
3,29,1,95,172,6,1,193,269,13,1,272,308,0,2,333,425,15,4,425,494,8,2,509,569,21,4,603,688,3,4,688,780,18,4,780,782,9,2,863,908,17,3,947,953,12,8,1043,1122,11,6,1141,1222,28,7,1230,1279,1,6,1318,1354,23,9,1354,1416,7,4,1427,1514,27,12,1514,1562,2,9,1590,1680,14,17,1969,2055,26,16,2055,2096,20,8,2297,2376,4,13,2391,2463,22,19,2574,2575,25,15,2792,2799,5,18,3130,3203,10,18,3215,3287,19,18,3306,3399,24,19,3436,3511,16,19,3857,3916
15,14,3,351,374,0,3,425,460,1,2,531,583,6,5,612,618,15,6,688,690,12,5,780,800,27,8,863,925,10,4,947,999,23,7,1081,1150,26,8,1150,1210,4,6,1329,1345,29,13,1679,1726,17,10,1777,1786,28,11,1969,1988,3,15,2057,2073,9,12,2146,2153,18,15,2237,2296,5,12,2297,2305,22,17,2376,2414,21,16,2414,2475,13,13,2485,2574,2,15,2574,2609,8,17,2694,2756,19,16,3056,3089,25,19,3130,3165,11,19,3215,3306,24,17,3306,3350,20,18,3399,3419,7,14,3484,3527,16,16,3732,3770
19,17,0,0,95,26,2,193,206,12,1,252,257,15,3,290,374,0,4,509,526,23,5,603,679,27,7,699,729,21,6,796,894,8,6,894,902,5,6,974,979,13,7,1049,1097,6,9,1183,1235,3,10,1329,1347,10,8,1492,1507,14,14,1681,1752,7,7,1808,1832,22,16,1882,1951,9,11,1969,1972,4,10,2057,2146,11,12,2146,2242,16,3,2242,2244,24,12,2340,2388,29,17,2402,2430,1,13,2645,2740,2,17,2761,2853,19,15,2961,3056,25,18,3056,3116,28,16,3130,3139,20,15,3214,3285,18,17,3399,3479
9,18,0,0,64,15,1,95,109,29,2,193,285,11,2,285,331,27,3,333,364,28,2,422,433,23,4,506,603,14,5,603,615,13,3,615,661,0,5,699,747,17,2,786,881,22,6,881,882,26,6,947,1004,9,3,1043,1100,6,8,1100,1121,1,5,1183,1278,25,5,1278,1334,21,9,1339,1412,10,7,1412,1474,19,7,1492,1590,4,8,1590,1636,12,14,1681,1746,3,13,1777,1839,24,8,1876,1935,7,9,1998,2082,20,7,2237,2239,2,19,2951,3004,8,19,3056,3112,5,19,3215,3258,16,18,3815,3857
10,22,0,0,5,7,1,95,154,13,0,193,252,26,3,252,256,8,0,290,336,5,2,374,449,6,4,449,502,11,3,531,534,10,3,612,699,14,6,699,737,0,6,786,843,25,2,881,919,18,6,974,1005,23,6,1043,1081,21,8,1081,1110,24,7,1141,1193,12,10,1230,1322,16,1,1329,1401,27,13,1590,1652,9,9,1777,1794,15,17,1860,1905,3,14,1906,1989,19,12,2476,2486,29,18,2527,2618,28,14,2618,2682,2,16,2682,2743,4,16,2792,2889,1,15,2951,2968,20,16,3285,3289,17,18,3315,3390
6,11,0,0,31,24,1,95,193,29,3,285,312,4,1,509,519,22,5,633,636,21,5,699,755,0,7,881,899,17,4,1043,1110,12,9,1141,1193,3,9,1230,1280,14,12,1329,1392,19,6,1401,1419,18,11,1461,1555,8,10,1555,1593,28,9,1648,1688,15,16,1777,1860,9,10,1860,1906,20,4,1969,2007,27,16,2057,2071,25,11,2146,2237,2,12,2237,2319,26,18,2321,2374,23,16,2391,2464,6,19,2485,2520,1,12,2574,2645,10,12,2645,2730,5,15,2730,2814,13,16,2889,2919,7,15,3527,3592,16,17,3770,3783
12,7,0,0,41,27,4,422,506,21,3,506,528,22,4,603,633,1,3,633,647,5,5,699,796,6,7,796,873,0,8,947,1002,25,3,1043,1136,9,5,1183,1197,11,7,1256,1263,12,12,1401,1440,4,7,1461,1509,29,12,1588,1679,15,15,1679,1777,14,15,1777,1829,13,10,1860,1890,20,5,2051,2142,23,14,2142,2226,26,17,2237,2238,2,14,2476,2516,16,5,2527,2538,8,16,2618,2636,19,13,2694,2792,17,15,2792,2888,28,15,2888,2931,10,15,2961,2966,3,18,3049,3084,24,16,3215,3219,18,19,3537,3635
4,15,0,0,33,14,0,95,113,10,1,193,247,22,2,272,312,7,3,333,422,13,2,422,494,28,4,612,651,19,4,688,786,29,8,786,834,2,7,881,906,12,7,947,1017,3,7,1043,1058,1,4,1100,1183,0,9,1183,1234,26,12,1427,1452,23,10,1492,1516,18,12,1590,1633,9,8,1681,1685,4,9,1777,1814,8,11,1876,1881,5,11,1969,1989,21,15,2057,2082,27,17,2146,2222,24,11,2237,2316,6,18,2321,2333,11,15,2485,2534,20,11,2574,2673,25,16,2888,2937,16,13,3399,3484,17,19,3484,3495
