6,0,0,0,64,1,1,96,192,10,6,567,656,16,11,995,1007,19,10,1057,1064,17,9,1345,1369,7,11,1442,1466,13,16,1536,1621,11,12,1621,1718,14,13,1718,1730,9,15,1765,1834,5,17,1834,1933,6,14,1933,1959,8,12,2015,2111,3,18,2112,2211,12,12,2211,2267,4,18,2298,2328,15,17,2328,2385,2,19,2404,2431,18,18,2506,2585
1,2,0,0,96,0,1,96,153,6,2,231,283,19,4,291,295,3,3,368,438,13,5,443,469,16,7,539,573,7,6,629,648,10,7,717,766,14,6,779,820,1,5,871,929,18,7,1159,1171,9,10,1235,1252,8,8,1328,1385,4,9,1410,1478,11,11,1499,1561,17,12,1621,1707,5,16,1718,1813,15,13,1813,1818,12,18,2665,2672
15,12,0,0,48,3,1,93,185,0,2,189,270,8,2,270,332,11,5,396,465,17,2,628,653,4,3,814,900,15,4,910,979,14,8,979,988,5,10,1013,1091,10,10,1107,1197,16,13,1197,1202,9,13,1499,1577,1,13,1621,1646,2,13,1813,1866,13,19,1866,1902,18,13,2015,2112,6,15,2112,2162,7,18,2404,2453,19,18,2453,2488
2,4,0,0,4,0,3,270,368,13,6,539,607,9,3,629,717,3,6,717,748,10,8,779,811,1,8,1057,1135,5,11,1135,1158,12,8,1197,1272,7,9,1272,1345,14,11,1345,1380,16,15,1442,1482,19,14,1590,1676,17,15,1955,2046,2,17,2091,2173,11,18,2185,2235,6,18,2360,2374,8,17,2423,2506,15,19,2506,2557,18,19,2585,2665
19,16,4,270,285,6,3,312,354,0,4,384,443,14,3,443,453,3,4,536,619,1,4,629,706,13,7,706,779,5,8,779,871,19,8,871,877,2,7,929,943,12,6,1012,1033,7,8,1063,1148,11,9,1148,1235,10,11,1235,1328,17,10,1442,1445,18,9,1665,1697,9,17,1933,2015,8,13,2112,2203,15,16,2235,2247,4,19,2328,2381
13,19,0,0,71,13,0,93,150,16,3,195,257,0,5,443,530,12,5,910,938,9,9,1117,1158,3,10,1197,1275,17,8,1275,1335,11,10,1345,1410,1,11,1439,1536,4,10,1536,1618,5,15,1618,1647,15,12,1676,1726,2,12,1726,1736,14,16,1933,1941,10,19,2015,2066,18,14,2112,2211,7,16,2234,2286,6,19,2423,2453,8,18,2506,2584
16,7,0,0,18,15,1,96,156,5,1,192,250,13,2,270,312,16,5,312,339,18,2,384,430,10,5,487,567,0,6,567,660,19,7,660,742,14,7,871,918,9,6,929,988,6,9,1144,1160,3,11,1275,1283,8,10,1442,1527,2,14,1866,1892,4,13,1933,1968,1,18,1993,2035,11,17,2091,2168,17,17,2234,2253,12,15,2506,2523
18,3,0,0,93,8,1,96,195,10,2,195,196,7,4,438,529,16,9,660,710,11,8,742,800,12,4,814,858,18,5,910,939,0,7,939,1001,13,10,1012,1024,6,8,1057,1127,17,7,1144,1182,9,11,1328,1394,2,11,1439,1505,1,12,1536,1569,14,15,1835,1879,15,14,1933,1992,5,19,2015,2091,4,17,2235,2265,19,19,2506,2535
3,18,1,93,174,19,2,174,185,7,1,195,270,2,1,270,336,11,4,336,396,10,4,396,487,9,2,487,553,12,1,553,643,5,7,717,744,0,8,1012,1032,16,12,1057,1105,8,7,1233,1236,6,11,1328,1393,15,10,1410,1426,17,11,1536,1564,13,17,1621,1682,3,14,1718,1797,4,12,1813,1852,1,17,1933,1993,14,17,2015,2112
12,2,3,539,599,4,2,742,782,3,7,814,902,13,9,910,918,15,5,979,1013,8,5,1057,1064,0,9,1144,1158,14,10,1233,1266,7,10,1345,1388,6,12,1410,1493,5,14,1493,1529,9,14,1577,1665,10,16,1676,1719,18,10,1726,1790,11,13,1813,1833,16,19,1888,1913,1,19,2046,2137,17,16,2137,2234,19,17,2360,2435,12,14,2435,2453
14,18,0,0,28,19,3,195,203,14,4,536,569,16,8,629,637,2,5,717,809,13,8,809,814,17,5,897,901,7,7,929,983,9,7,1012,1042,4,5,1057,1111,8,6,1144,1224,0,10,1233,1318,5,12,1318,1339,3,12,1410,1417,12,11,1499,1558,1,15,1765,1809,10,18,1888,1896,11,16,2015,2048,6,17,2298,2360,15,18,2404,2415
