8,0,0,0,56,15,2,214,305,1,4,307,342,19,3,464,483,11,4,520,555,5,5,580,609,14,3,655,679,4,4,727,772,3,6,784,809,16,8,1011,1104,8,7,1104,1195,6,9,1195,1243,12,13,1261,1346,7,12,1354,1419,9,11,1460,1465,18,14,1512,1573,10,10,1607,1639,13,12,1684,1762,2,14,1766,1847,17,12,1894,1908
13,0,1,85,110,5,2,214,282,19,1,308,381,2,5,402,472,12,6,494,527,1,8,580,640,4,3,640,717,14,4,727,784,11,6,784,807,6,7,849,936,16,7,936,1011,9,7,1011,1075,13,6,1104,1184,7,10,1184,1218,18,10,1232,1326,15,7,1326,1388,3,9,1388,1412,10,8,1460,1506,17,7,1506,1556,8,10,1580,1608
3,8,0,0,9,9,0,85,95,0,2,128,145,1,3,214,293,6,2,307,330,13,4,442,474,12,7,580,657,7,5,657,716,5,6,742,786,4,6,837,926,2,10,1112,1161,16,10,1195,1261,18,11,1326,1386,19,10,1386,1396,14,7,1460,1499,11,13,1520,1553,15,10,1607,1648,3,12,1775,1783,17,11,1855,1863,10,13,1963,2037
7,11,0,0,20,7,1,85,128,18,0,128,147,0,3,214,277,5,3,307,402,19,2,402,464,16,4,464,548,13,5,548,631,6,6,631,640,10,3,727,747,1,10,771,823,15,3,837,850,2,7,929,969,4,11,1253,1283,12,14,1354,1367,17,6,1400,1431,8,9,1483,1580,14,9,1580,1636,9,13,1636,1642,3,14,1894,1931
10,15,0,0,76,10,1,85,153,3,2,153,174,18,2,307,374,0,4,374,383,12,5,442,494,9,3,494,580,8,5,631,727,7,6,742,826,1,11,837,851,4,7,929,989,19,8,1022,1092,11,10,1134,1232,13,9,1386,1398,2,12,1506,1556,5,10,1580,1625,16,14,1625,1689,6,13,1723,1773,14,12,1855,1894,17,13,1963,1975
6,14,0,0,60,6,0,60,110,1,2,110,145,10,2,153,213,12,2,214,280,8,2,307,318,13,3,374,442,4,1,442,474,0,5,520,550,19,4,580,679,17,3,679,771,16,5,771,805,2,6,837,929,15,4,929,933,7,9,1022,1042,9,8,1112,1124,18,12,1386,1424,11,14,1607,1657,3,11,1723,1775,5,13,1775,1802
14,2,0,0,5,17,1,64,113,15,1,127,214,18,1,214,303,9,2,307,393,7,2,393,419,11,3,442,520,14,1,520,578,0,6,580,655,3,5,679,689,16,6,837,923,1,12,929,931,12,11,998,1069,10,7,1134,1140,5,8,1227,1288,8,8,1288,1380,6,12,1460,1507,13,13,1766,1810,19,14,1855,1872,4,14,1894,1909
12,3,1,64,127,6,1,127,182,12,3,307,354,5,4,402,444,1,6,464,479,0,7,655,677,4,5,784,821,11,7,849,936,10,5,941,947,16,9,1104,1187,7,11,1232,1324,13,8,1326,1336,18,13,1460,1512,9,12,1512,1607,2,13,1607,1684,14,10,1684,1721,19,13,1766,1806,15,12,1855,1923,8,14,1923,1984,17,14,2049,2099
9,10,0,0,47,2,1,64,95,13,1,110,196,1,5,354,420,18,5,520,569,0,8,727,769,12,10,849,907,4,8,998,1057,11,9,1092,1117,3,8,1134,1227,9,9,1227,1249,6,11,1380,1402,16,13,1460,1518,7,13,1518,1605,19,12,1607,1628,17,8,1636,1689,5,12,1723,1753,15,11,1766,1802,8,13,1855,1889,14,14,1963,2015
2,13,0,0,85,8,1,85,105,4,0,128,132,17,2,214,249,2,4,307,356,18,6,580,655,9,4,655,742,0,9,784,867,11,8,936,1022,1,13,1022,1038,12,12,1112,1126,16,11,1261,1354,19,11,1460,1520,15,9,1520,1568,7,14,1607,1644,3,10,1644,1692,14,11,1766,1800,5,14,1855,1868,10,12,1894,1901,6,14,1963,2049
0,3,0,0,64,12,1,127,161,2,3,209,279,6,4,472,523,11,5,580,606,1,9,655,727,19,5,742,837,7,7,837,870,0,10,929,998,8,6,998,1092,18,8,1092,1129,5,7,1129,1152,4,10,1195,1243,17,4,1253,1337,16,12,1354,1401,14,8,1512,1540,10,11,1684,1766,9,14,1766,1801,13,14,1855,1873,15,13,1923,1951
4,17,0,0,61,1,1,64,84,2,2,110,165,5,1,165,175,13,2,214,229,16,3,307,348,8,3,393,414,4,2,520,530,7,4,580,598,18,7,655,721,12,8,727,765,9,5,784,802,10,4,867,881,19,7,941,980,0,11,1022,1112,6,8,1112,1133,14,5,1195,1203,11,12,1460,1476,3,13,1855,1885,15,14,1963,1975
5,7,0,0,11,16,0,64,65,11,1,110,209,12,4,354,402,18,4,442,517,1,7,520,576,14,2,580,596,19,6,837,839,3,7,929,989,15,5,998,1030,10,6,1092,1112,0,12,1134,1222,13,7,1232,1313,6,10,1313,1368,9,10,1380,1460,2,11,1460,1490,5,9,1506,1563,8,11,1636,1691,4,13,1723,1746,17,10,1775,1849
11,1,0,0,39,12,0,64,99,16,1,127,194,9,1,209,267,19,0,279,308,11,2,308,363,6,3,402,427,7,3,472,503,8,4,548,559,3,4,631,660,2,8,969,982,4,9,1092,1134,18,9,1134,1211,0,13,1232,1252,17,5,1343,1400,15,8,1400,1483,13,11,1520,1558,5,11,1625,1723,14,13,1894,1963,10,14,2037,2091
1,5,0,0,14,16,2,209,307,3,3,307,328,18,3,393,403,6,5,548,603,12,9,784,849,9,6,867,941,7,8,941,1014,2,9,1022,1036,1,14,1112,1171,15,6,1195,1253,19,9,1253,1343,14,6,1343,1384,11,11,1388,1389,13,10,1460,1491,10,9,1520,1599,0,14,1607,1637,4,12,1644,1666,17,9,1723,1734,8,12,1766,1855
