3,6,0,0,42,8,0,42,115,0,0,132,223,11,2,223,311,3,3,332,404,14,5,409,415,9,6,481,517,13,5,557,572,7,7,963,992,12,12,1086,1182,4,10,1244,1337,10,12,1449,1528,1,13,1528,1613,2,14,1637,1736,5,14,1750,1812
13,14,0,0,75,11,1,75,139,1,0,139,173,0,1,223,238,9,3,311,375,5,4,375,461,7,1,461,486,4,2,550,566,2,2,653,735,8,7,735,823,10,6,823,911,12,10,911,940,3,8,983,1062,13,11,1242,1265,6,14,1750,1779
11,12,0,0,2,5,1,79,142,6,2,142,184,9,2,223,303,8,3,311,409,11,4,409,434,13,4,481,557,0,2,557,602,3,7,704,737,14,8,823,847,1,7,911,991,7,9,1159,1194,2,10,1309,1310,10,11,1350,1385,4,12,1449,1493
4,11,0,0,50,13,1,80,170,14,2,170,245,3,2,245,266,6,4,332,369,10,4,409,481,8,5,550,558,9,7,558,646,1,4,653,696,0,3,704,730,4,5,737,810,2,5,894,963,12,14,1309,1347,7,12,1350,1393,5,12,1449,1452
2,14,1,75,120,8,1,139,207,10,2,223,278,12,6,555,627,5,7,704,770,0,4,796,886,7,6,894,946,4,7,963,1015,9,11,1015,1047,13,9,1086,1141,2,9,1242,1254,11,9,1427,1467,3,12,1528,1584,1,14,1613,1616,6,13,1658,1750
9,5,0,0,79,12,1,79,120,9,1,139,182,1,1,223,224,6,5,409,434,11,6,557,575,13,6,653,684,7,4,735,788,0,5,886,939,8,10,983,1072,4,8,1072,1151,14,10,1159,1163,3,10,1242,1309,2,12,1449,1476,10,14,1658,1744
10,5,3,236,245,3,4,409,455,12,7,653,719,6,8,719,735,2,4,815,894,13,7,894,983,0,6,983,990,8,11,1072,1131,10,9,1159,1242,9,13,1242,1305,7,11,1309,1327,1,12,1427,1476,14,14,1476,1561,11,11,1592,1629,4,14,1658,1676
6,13,3,303,353,4,3,599,678,1,6,796,892,6,9,892,930,9,10,939,1002,12,11,1002,1051,0,7,1086,1164,3,9,1182,1238,7,10,1242,1280,14,11,1309,1331,2,11,1350,1421,8,13,1449,1512,11,10,1512,1540,10,13,1592,1635,5,13,1658,1712
12,10,1,42,132,14,3,245,317,12,4,386,417,6,7,628,704,4,4,704,712,9,9,737,788,8,9,911,931,2,7,1086,1127,0,8,1182,1276,5,10,1276,1311,1,11,1337,1427,13,13,1427,1465,3,11,1467,1490,7,14,1560,1658,11,13,1736,1818
7,6,1,42,81,14,4,332,397,5,5,461,550,3,5,550,570,11,7,653,657,12,8,719,815,8,8,823,895,1,9,1078,1156,13,10,1182,1231,10,10,1242,1300,9,14,1309,1316,4,11,1350,1436,0,9,1436,1444,7,13,1476,1522,2,13,1560,1637
5,3,1,142,143,13,2,223,259,10,3,303,328,9,5,409,415,7,2,550,599,8,6,599,614,1,5,704,777,4,6,823,909,2,8,1182,1221,12,13,1242,1292,5,11,1337,1351,14,13,1449,1459,0,10,1476,1495,6,12,1560,1594,11,12,1658,1700
14,10,0,0,18,9,0,42,72,3,0,80,130,5,2,142,236,7,0,236,332,4,0,332,347,1,2,409,449,12,5,481,547,2,1,555,653,14,9,911,955,13,12,1309,1328,6,11,1350,1430,8,14,1512,1553,0,11,1592,1648,11,14,1818,1901
8,6,3,223,232,12,3,311,386,11,5,481,554,14,6,557,573,5,6,653,665,2,3,735,781,7,5,823,843,13,8,983,1070,10,8,1070,1159,9,12,1159,1175,1,10,1194,1282,8,12,1282,1350,4,13,1512,1592,3,13,1613,1657,0,12,1658,1727
1,13,0,0,80,2,0,80,168,12,2,170,183,11,3,311,368,9,4,375,389,4,1,409,424,8,4,481,549,6,6,550,628,3,6,628,690,10,5,704,796,5,8,796,851,1,8,991,1078,7,8,1078,1129,14,12,1350,1449,0,13,1750,1816
0,8,2,223,226,1,3,481,555,7,3,599,666,9,8,666,737,14,7,737,761,12,9,823,868,10,7,911,980,2,6,991,1086,5,9,1086,1156,4,9,1182,1244,6,10,1244,1274,11,8,1337,1406,13,14,1467,1560,3,14,1658,1714,0,14,1818,1916
